GPM,WT,DIS,NC
5.917,4.36,350,8
6.452,4.054,351,8
5.208,3.605,267,8
5.405,3.94,360,8
3.333,2.155,98,4
3.636,2.56,134,4
3.676,2.3,119,4
3.236,2.23,105,4
4.926,2.83,131,5
5.882,3.14,163,6
4.63,2.795,121,4
6.173,3.41,163,6
4.854,3.38,231,6
4.808,3.07,200,6
5.376,3.62,225,6
5.525,3.41,258,6
5.882,3.84,305,8
5.682,3.725,302,8
6.061,3.955,351,8
5.495,3.83,318,8
3.774,2.585,140,4
4.566,2.91,171,6
2.933,1.975,86,4
2.849,1.915,98,4
3.65,2.67,121,4
3.175,1.99,89,4
3.39,2.135,98,4
3.521,2.67,151,4
3.472,2.595,173,6
3.731,2.7,173,6
2.985,2.556,151,4
2.924,2.2,105,4
3.145,2.02,85,4
2.681,2.13,91,4
3.279,2.19,97,4
4.545,2.815,146,6
4.651,2.6,121,4
3.135,1.925,89,4
